sel1,sel0,mean(delay0) [ns],mean(delay1) [ns],mean(CSC),var(CSC)
7,4,3.37373884268,5.45241310796,3.02747252747,0.147596908586
7,5,3.53937836052,5.85480334905,2.77472527473,0.278921627823
7,6,2.16688777622,4.45454924165,16.2802197802,0.201696654993
7,7,2.42390003268,4.52438513867,6.40384615385,3.37262256974
7,8,2.94540146815,4.55443513944,0.587912087912,1.24776597029
7,9,3.18863187902,4.84231533724,0.255494505495,0.42648079942
7,10,1.84444428395,3.53699821357,10.5824175824,8.84210844101
7,11,2.10963478347,3.59890497404,2.75274725275,0.246558386668
7,12,3.05042783409,4.69436510779,0.569863013699,1.2533383374
7,13,3.30175569963,4.98887250622,0.236263736264,0.455168457916
7,14,1.91784244871,3.66918401756,8.59340659341,0.395121362154
7,15,2.21704319543,3.72430862004,2.5989010989,0.383075715493
8,0,2.86534512515,5.33020371623,6.29945054945,0.440549148654
8,1,3.14593874247,5.61846499374,4.8489010989,0.518377913295
8,2,1.77257795292,4.30989418065,0.53021978022,1.05677907258
8,3,2.04436931536,4.36031934549,6.83516483516,0.390411786016
8,4,3.27610332932,5.48331796904,3.03296703297,0.218693394518
8,5,3.53437288702,5.79686739743,2.68956043956,0.378902004589
8,6,2.16661170838,4.4551277598,16.2802197802,0.778619731916
8,7,2.45001659815,4.52468565582,6.63287671233,2.13919309439
8,8,2.94945742328,4.53139971666,0.747252747253,1.48556937568
8,9,3.1799183706,4.86774741251,0.285714285714,0.555729984301
8,10,1.83759587607,3.52567715982,10.8351648352,5.39590629151
8,11,2.11471275656,3.60032376307,2.75824175824,0.249245260234
8,12,3.0940960009,4.69078368677,0.535714285714,1.20476844584
8,13,3.30292826731,5.01396778719,0.296703296703,0.543835285594
8,14,1.94068805133,3.65000395251,8.52472527473,0.864773276174
8,15,2.2004591315,3.72263813449,2.60989010989,0.375286801111
9,0,2.87799961363,5.30027590007,6.27472527473,0.254196353097
9,1,3.13592315286,5.65306150686,4.94520547945,0.117545505723
9,2,1.76318402446,4.30766689204,0.521978021978,1.08468180171
9,3,2.03710680758,4.36166437575,6.85714285714,0.353218210361
9,4,3.27616633529,5.47799015631,3.06043956044,0.32052288371
9,5,3.53137652958,5.76729665727,2.64835164835,0.447772008212
9,6,2.1660314484,4.45451515892,16.2664835165,0.195470051926
9,7,2.45082915842,4.52613370052,6.94230769231,0.070847421809
9,8,2.94270401836,4.54974645119,0.763736263736,1.54308054583
9,9,3.20739840529,4.86658836333,0.337912087912,0.707243992271
9,10,1.83021215528,3.52555381926,10.5604395604,6.6804129936
9,11,2.1094372552,3.59184815224,2.76373626374,0.246377249125
9,12,3.08579619859,4.67206862913,0.528767123288,1.13684368549
9,13,3.28745230505,4.96311500563,0.225274725275,0.427273276174
9,14,1.93785852652,3.65510015098,8.24725274725,2.70260234271
9,15,2.20851918941,3.72512336346,2.59340659341,0.367648834682
10,0,2.88194334064,5.33429687384,6.02197802198,1.3511653182
10,1,3.14668157592,5.65307810939,4.95879120879,0.0724776597029
10,2,1.77095176056,4.30992940423,0.549450549451,1.07722497283
10,3,2.04352317492,4.37796112179,6.87912087912,0.27110252385
10,4,3.27118434787,5.45499375491,3.03021978022,0.199636215433
10,5,3.51479003372,5.82699630325,2.72802197802,0.368335647869
10,6,2.16784710778,4.46864626272,16.3763736264,0.234716519744
10,7,2.43919252411,4.50302927743,6.98904109589,0.328647025708
10,8,2.94355086568,4.55284695979,0.598901098901,1.26219659461
10,9,3.20609204294,4.86432466764,0.368131868132,0.765577828765
10,10,1.83808512565,3.53247800097,11.0769230769,3.26880811496
10,11,2.10025717246,3.59915996247,2.76923076923,0.265426880811
10,12,3.04264855775,4.66735935397,0.445054945055,1.01621181017
10,13,3.30473218411,5.01213983615,0.197802197802,0.339995169665
10,14,1.93622644651,3.66910110218,8.17032967033,2.92153725395
10,15,2.20999148539,3.72379894869,2.60164835165,0.382524755464
11,0,2.90585243768,5.30669197961,6.24175824176,0.414080425069
11,1,3.13569840029,5.64493649825,4.81917808219,0.597440420342
11,2,1.77227685265,4.30833449522,0.502747252747,1.02471772733
11,3,2.04489629006,4.38043485888,6.92032967033,0.172224067142
11,4,3.27661229662,5.4780873888,3.03021978022,0.227108742905
11,5,3.51376683534,5.8008160265,2.65659340659,0.456247735781
11,6,2.15796685655,4.45676191502,16.3461538462,0.226331360947
11,7,2.43804985823,4.52429511681,6.78846153846,1.04041631445
11,8,2.94366615077,4.5519604359,0.744505494505,1.5418654148
11,9,3.20853909697,4.86633718536,0.32967032967,0.655053737471
11,10,1.83806089423,3.50873600729,11.0769230769,3.26880811496
11,11,2.11466622484,3.57991158814,2.79395604396,0.218534899167
11,12,3.04688420476,4.68654251681,0.627397260274,1.4063726778
11,13,3.30100842179,5.00985519361,0.131868131868,0.22986354305
11,14,1.92781959905,3.65495655053,8.20879120879,1.84102161575
11,15,2.20989704254,3.72708681992,2.60714285714,0.33192700157
12,0,2.86474592107,5.32901622187,6.03021978022,1.45787797367
12,1,3.1392990409,5.65162857374,4.79395604396,0.718534899167
12,2,1.76576512952,4.31029097202,0.563186813187,1.15260083323
12,3,2.04211415946,4.37961176754,6.85989010989,0.351248339573
12,4,3.27671195726,5.47888953152,3.02197802198,0.246769713803
12,5,3.54094807231,5.79793233083,2.69505494505,0.37129422775
12,6,2.16787115538,4.4349719857,16.3205479452,0.963002439482
12,7,2.44013669819,4.50431125398,6.92032967033,0.172224067142
12,8,2.94389073955,4.52829469242,0.601648351648,1.27812915107
12,9,3.20304548613,4.86810395599,0.357142857143,0.740580847724
12,10,1.83832347017,3.52599076231,11.1373626374,2.48113150586
12,11,2.11599511925,3.59911172044,2.77472527473,0.240460089361
12,12,3.01221523359,4.66953466124,0.395604395604,0.865475184157
12,13,3.30710559037,5.01521591825,0.195054945055,0.338327194783
12,14,1.93692906385,3.66909628781,8.16483516484,2.54425793986
12,15,2.20734065545,3.74011506466,2.67307692308,0.30795646661
13,0,2.87595422028,5.34155455929,6.25549450549,0.190217063157
13,1,3.25464243583,5.61432501118,4.78082191781,0.719084255958
13,2,1.77486227016,4.28471839467,0.574175824176,1.1510913537
13,3,2.04456372783,4.35962377935,6.85989010989,0.334764823089
13,4,3.28044839744,5.49323779652,3.06868131868,0.377151008332
13,5,3.53092776503,5.79598033545,2.6043956044,0.480859799541
13,6,2.16668530474,4.47052719567,16.4615384615,0.248520710059
13,7,2.44695160977,4.52831784277,6.9532967033,0.0610056152639
13,8,2.92799654702,4.52764854459,0.557692307692,1.16425401522
13,9,3.2039282249,4.84514298785,0.362637362637,0.775087549813
13,10,1.83906241677,3.52734854321,10.5274725275,7.77122328221
13,11,2.11025922026,3.59549379377,2.76438356164,0.240375304935
13,12,3.10047963426,4.69220117644,0.445054945055,1.01621181017
13,13,3.42361804659,4.98290206338,0.222527472527,0.403778227267
13,14,1.93770805995,3.66907812843,8.35714285714,1.50981161695
13,15,2.19863791079,3.74331754752,2.65659340659,0.291412570946
14,0,2.8827439375,5.33578929281,6.26098901099,0.390675944934
14,1,3.14210656112,5.6448625745,4.90384615385,0.301193998309
14,2,1.77527419603,4.30015619858,0.563186813187,1.09765577829
14,3,2.04481690423,4.3586795535,6.85714285714,0.353218210361
14,4,3.28033674811,5.45700069085,3.03021978022,0.336998852796
14,5,3.53378545897,5.79805052925,2.67582417582,0.44436058447
14,6,2.15685517285,4.45622435613,16.4054794521,0.739696003002
14,7,2.45614143574,4.50407970549,6.87087912088,0.541020106267
14,8,2.92608855928,4.55504295653,0.703296703297,1.41746165922
14,9,3.18646353381,4.88491004275,0.252747252747,0.47458036469
14,10,1.83776123026,3.50295273895,10.782967033,6.24135822968
14,11,2.11155230574,3.59311273607,2.75274725275,0.219085859196
14,12,3.03348065915,4.69552918901,0.521978021978,1.13962685666
14,13,3.30779052975,5.03451069879,0.214285714286,0.311224489796
14,14,1.93732313734,3.65151118809,8.19505494505,2.17349202995
14,15,2.19788614892,3.73961744838,2.56593406593,0.394004347301
15,0,0.97881986209,5.2861517786,2.92582417582,0.420322122932
15,1,1.06550754597,5.62889982084,2.14794520548,1.70961906549
15,2,1.77541022599,4.30902307554,0.587912087912,1.15435937689
15,3,2.03418121693,4.3805681866,6.93406593407,0.127520830818
15,4,3.25654012094,5.48347430688,3.06043956044,0.265577828765
15,5,3.53888725275,5.79634103025,2.64010989011,0.477621965946
15,6,2.16664430171,4.43687546685,16.3681318681,0.232610795798
15,7,2.44005059158,4.52683059878,6.96703296703,0.0483637241879
15,8,2.94248455693,4.5489010989,0.807692307692,1.61686390533
15,9,3.20485203356,4.8657588788,0.244505494505,0.503403876343
15,10,1.84052910172,3.52622392009,11.0,4.29120879121
15,11,2.10622389928,3.58025141829,2.75616438356,0.266571589416
15,12,1.03760309461,4.67376660229,1.09065934066,1.95606659824
15,13,1.12418621454,4.98538896431,0.285714285714,0.56671899529
15,14,1.94235574127,3.67143106905,8.26923076923,1.83410819949
15,15,2.20633555084,3.74350291992,2.57692307692,0.403423499577
