CSC,minH (sim),H (sim),mean R (sim),std R (sim),minH (norm),H (norm),mean R (norm),std R (norm)
93.0,0.8631261532983484,0.9928437677041135,93.01462,0.7665939313613173,0.777397232239794,0.9798274507449634,92.9999999999996,0.6417404335087471
94.0,0.8616049039551138,0.9926756848022105,94.01594,0.7727133468499169,0.7906844577655818,0.9823417111020718,94.00000000000026,0.6521188603314609
95.0,0.8761749105939043,0.9941985405101853,95.01213,0.7840171318918994,0.8034935582326281,0.9845856203611665,95.00000000000034,0.662552639418186
96.0,0.8912146271922171,0.9955707034176069,96.01166,0.7973857563312754,0.8158171980899113,0.9865823223129784,96.00000000000051,0.6730414786623535
97.0,0.8934104697201247,0.9957544384426872,97.01222,0.801567633827614,0.827650042215268,0.9883537302093464,96.99999999999953,0.6835850905337193
98.0,0.9027128348194084,0.9964867401121684,98.01738,0.8068320367957633,0.8389887463431325,0.9899205037272142,97.9999999999994,0.6941831919601563
99.0,0.9025510100216966,0.9964746329368996,99.01128,0.8177119062359309,0.8498310407261228,0.991301835149547,98.99999999999939,0.7048355042135653
100.0,0.9153642145457165,0.9973650612235345,100.01129,0.8274675437139514,0.8601801357920177,0.9925164641720218,100.00000000000043,0.7155417527999373
101.0,0.9140315461378347,0.9972788374161417,101.01172,0.8388817804673077,0.8700357661429914,0.9935806602576098,100.9999999999996,0.7263016673531694
102.0,0.9306827866879985,0.9982517511511226,102.01575,0.8464407465971849,0.8794002933016742,0.9945096944491711,101.99999999999933,0.7371149815327249
103.0,0.9354757978768982,0.998490307842635,103.01263,0.8545235415715591,0.8882877784643005,0.995319742601593,103.00000000000071,0.7479814329246492
104.0,0.9376019362015215,0.9985902874089102,104.0101,0.8681462952751685,0.8966975588404323,0.9960223490431459,104.00000000000055,0.7589007629459923
105.0,0.9447488051507238,0.998900299217284,105.02,0.8764017343661523,0.9046413550450456,0.9966302465147034,105.00000000000072,0.7698727167525891
106.0,0.9530480215624109,0.9992104951911904,106.01638,0.885771807860241,0.9121195215445563,0.9971525578727165,105.99999999999928,0.7808970431497276
107.0,0.9504249896829271,0.9991181882298092,107.0141,0.894562010147983,0.9191602856648193,0.9976026355353538,107.0000000000007,0.7919734945059791
108.0,0.9536626119498699,0.9992313617661044,108.01228,0.9049028685997188,0.9257688493592868,0.9979880804768411,108.00000000000023,0.8031018266695725
109.0,0.9575797879672698,0.9993575983463379,109.01508,0.9078835793206086,0.9319587477113097,0.998317053212596,108.99999999999987,0.8142817988878283
110.0,0.9654743639404693,0.9995768101050656,110.01185,0.9250673367382505,0.9377443437041215,0.9985968657654425,110.00000000000075,0.8255131737289322
111.0,0.9643479403967714,0.9995483890386712,111.01287,0.9384904704364346,0.9431406926917252,0.9988340422789579,110.99999999999953,0.8367957170062423
