CSC,minH (sim),H (sim),mean R (sim),std R (sim),minH (norm),H (norm),mean R (sim),std R (norm)
24.0,0.09961811562304686,0.3535623609828733,24.00462,0.25826082862098926,5.390780579877469e-10,1.2241209029589958e-08,23.999999999999975,0.07981290121277373
25.0,0.10654458987515657,0.3703488878088046,25.00605,0.2667459418622896,5.4860786836778436e-09,1.1184778464215527e-07,25.000000000000025,0.08485281374238582
26.0,0.11147688541738723,0.381987599853059,26.00446,0.27265382520698295,3.9847032974232953e-08,7.333739052268044e-07,25.999999999999957,0.08999455983558095
27.0,0.11867994601229095,0.39853948258422267,27.00391,0.2809888109871993,2.1930582501590928e-07,3.6622560159875763e-06,26.99999999999996,0.09523616119940977
28.0,0.12694279080639423,0.4169112395906627,28.00333,0.290204946718694,9.590887322991308e-07,1.460096554900724e-05,27.999999999999986,0.10057575055648346
29.0,0.1292920338171498,0.4220200310825936,29.0055,0.2927281161760858,3.4621206013385484e-06,4.826239554083785e-05,28.999999999999957,0.10601156163362536
30.0,0.1419712474822268,0.44876629052615746,30.00462,0.3061023613107223,1.0637360097524958e-05,0.00013634546808778073,29.999999999999968,0.11154192037077343
31.0,0.14747373646823325,0.459959968612457,31.00595,0.3116642384040877,2.852175761014716e-05,0.0003374477397352304,30.999999999999996,0.11716523716529571
32.0,0.15296521088043366,0.4708946683141006,32.0057,0.31712380863000494,6.811591049710991e-05,0.0007465881090429588,32.000000000000036,0.1228800000000002
33.0,0.16297714805284053,0.4902489694561185,33.0052,0.3267919215647779,0.00014735680986929456,0.0015013664027543592,32.999999999999936,0.12868476832943324
34.0,0.17232728427021965,0.5076790891483567,34.00563,0.3354970984971405,0.00029282814583626865,0.0027822988010698635,33.99999999999993,0.13457816762016
35.0,0.1767560790254525,0.5157276259256314,35.00473,0.3395403173409603,0.0005408073517722153,0.0048063142137102655,34.999999999999915,0.1405588844577242
36.0,0.18444096549240557,0.5293896092954656,36.00585,0.34637519758204405,0.0009373685542330316,0.007814127824242989,36.00000000000008,0.14662566214684294
37.0,0.19485615583426327,0.5473144925682387,37.00564,0.35539863590058984,0.0015374524198760293,0.012053570519502493,37.00000000000002,0.15277729674267718
38.0,0.2047816465578106,0.5637937678635552,38.00655,0.36371293281927713,0.0024030106601508608,0.01776158539954692,38.00000000000004,0.159012633460364
39.0,0.20807760057012137,0.5691409937513231,39.00301,0.36647092640481044,0.0036004806548167205,0.025147492416467226,39.00000000000001,0.1653305634176573
40.0,0.2191188159658136,0.5866170671990389,40.00513,0.3753447523277767,0.005197918388661557,0.034379491335564165,39.99999999999996,0.17173002067198356
41.0,0.229805245048683,0.6029154255727214,41.00521,0.383696306862602,0.007262117284677143,0.04557551802031261,41.000000000000014,0.17820997951854442
42.0,0.2358916807340246,0.6119384190993845,42.00746,0.3883096037957341,0.00985598592253963,0.0587987409983563,42.00000000000006,0.18476945202061984
43.0,0.24625855965453006,0.6268900346996679,43.00612,0.3960840133103078,0.013036374589445721,0.07405733835825554,43.00000000000003,0.1914074857470315
44.0,0.2565625867020149,0.6412495821221317,44.00556,0.403595201160767,0.016852452127515155,0.09130778613358606,44.00000000000005,0.19812316169494196
45.0,0.2642005746224943,0.6515835010545461,45.00706,0.4090111934898603,0.02134465668716768,0.11046070554507977,45.00000000000004,0.20491559237891124
46.0,0.27533226761577034,0.6661892184119218,46.00834,0.41673786053105377,0.02654418512258826,0.13138830783674665,46.00000000000002,0.21178392006948984
47.0,0.2800017819618701,0.6721601480181645,47.00651,0.4199614504927804,0.03247294790258204,0.15393258128775505,47.00000000000013,0.21872731516662564
48.0,0.2943316752935511,0.6899302283585501,48.00433,0.4295710082163367,0.03914389745381148,0.17791353025167714,47.99999999999995,0.2257449746948973
49.0,0.3058240588050206,0.7036003510054082,49.00554,0.4370689972990535,0.046561633651866885,0.2031369587483111,49.00000000000002,0.2328361209091065
50.0,0.31077241680760503,0.7093328589146486,50.00583,0.44017724963927884,0.05472319608402086,0.22940146356826763,49.99999999999988,0.23999999999999913
51.0,0.3273664723540714,0.7279074005772124,51.00455,0.4505877245331923,0.06361896355093577,0.2565044479402313,51.00000000000001,0.2472358808911037
